[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3209 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7191 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5443 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7342 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3599 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7609 from 1001
[2017-11-28 13:00:40]: Peer 1002 has preferred neighbors [1003]
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 985 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 465 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5826 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8062 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7576 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 547 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7037 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3267 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2892 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8627 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5282 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6688 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 3949 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6229 from 1001
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:40]: Peer 1002 received the 'have' message from 1003
